Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1894,11,28,,,,3,8,,0,USA,"PUYALLUP RIVER DELTA, TACOMA, WA",47.286,-122.445,3,1,,,2,,,,,1,,
1894,,,,,,2,0,,0,TUNISIA,BALEARIC SEA,,,1,1,,3,,,,,,1,,
1895,1,28,,,,-1,9,,0,USA,HAWAII,,,,1,,,,,,,,,,
1895,3,6,8,35,,4,1,7.3,0,PAPUA NEW GUINEA,SOLOMON SEA,-8.4,150.1,6,6,2.6,2,,,,,,2,,
1895,3,9,,,,2,8,,0,USA,S. CALIFORNIA,,,,1,,,,,,,,,,
1895,5,25,,,,1,1,,0,JAPAN,W. KYUSHU ISLAND,33,130,,1,,0.5,,,,,,,,
1895,5,31,,,,4,1,,0,CHILE,NORTHERN CHILE,-18,-71,,17,,,,,,,,1,,
1895,7,8,21,30,,2,1,8.2,0,TURKMENISTAN,CASPIAN SEA,39.5,53.7,,1,,,,,,,,3,,
1895,7,9,5,30,,4,8,,0,NEW ZEALAND,PIEGON BAY,-43.688,172.9,5,0,,,,,,,,,,
1895,7,,,,,1,8,,0,USA,S. CALIFORNIA,,,,1,,,,,,,,,,
1895,8,18,6,57,,4,3,6,0,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",-38.8,176,,1,,,,,,,,,,
1895,9,1,11,9,,3,1,4.3,0,USA,"HIGH BRIDGE, NJ",40.667,-74.883,,1,,,,,,,,,,
1895,10,14,,,,-1,9,,0,USA,N. CALIFORNIA,,,,1,,,,,,,,,,
1895,10,31,11,8,,0,1,6.7,0,USA,"CHARLESTON, MO",37,-89.4,,1,,,,,,,,,,
1895,11,1,,,,1,1,,0,ITALY,TYRRHENIAN SEA,41.7,12.2,,0,,3,,,,,,,,
1896,1,9,,,,4,1,7.6,0,JAPAN,"KASHIMA, JAPAN",36.5,141,0.25,6,,-2.5,,,,,,,,
1896,2,16,18,0,,2,1,,0,JAMAICA,KINGSTON,17.6,-76.7,,1,,,,,,,,2,,
1896,6,15,10,33,,4,1,8.3,4,JAPAN,SANRIKU,39.5,144,38.2,72,5.2,3.8,27122,,,13247,,4,11000,
1896,10,10,,,,2,1,6.8,0,INDONESIA,SW. SUMATRA,-3.5,102.5,,1,,0,,,,,,1,,
1896,10,16,6,15,,1,1,,0,ITALY,LIGURIAN SEA,43.7,8.1,,0,,2,,,,,,,,
1896,11,5,2,50,,3,1,,0,GREECE,IONIAN SEA,,,,0,,,,,,,,,,
1896,12,17,,,,-1,9,,0,USA,"SANTA BARBARA, CA",,,2.5,1,1.3,1.5,,,,,,,,
1896,,,,,,4,1,,0,ICELAND,ICELAND,,,,0,,,,,,,,,,
1897,2,19,20,50,,4,1,7.4,0,JAPAN,SANRIKU,38.1,141.9,1,2,,,,,,,,2,,
1897,3,15,,,,2,1,5.5,0,INDONESIA,FLORES SEA,-6.8,120.8,,1,,1,,,,,,,,
1897,3,26,,,,3,6,,0,SOLOMON ISLANDS,"TINAKULA, SANTA CRUZ ISLANDS",-10.38,165.8,,1,,,,,,,,1,,
1897,4,17,,,,2,8,,0,USA,"GULF OF ALASKA, AK",,,,1,,,,,,,,1,,
1897,4,29,,,,1,0,,0,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,-43.6,172.8,,1,,,,,,,,,,
1897,6,12,11,6,,0,1,8.7,0,INDIA,ASSAM,26,91,,1,,,1542,,,,,4,,
1897,6,20,,,,2,1,7,0,MEXICO,S. MEXICO,16,-95,,0,,,,,,,,2,,
1897,8,5,0,10,0,4,1,7.7,0,JAPAN,SANRIKU,38,143.7,3.6,37,1.5,1,,,,,,1,,
1897,9,20,19,6,,1,1,8.6,0,PHILIPPINES,SULU SEA,6,122,2,1,,1,,,,,,1,,
1897,9,21,5,12,,4,1,8.7,0,PHILIPPINES,SULU SEA,6,122,7,13,2.6,2.5,13,,,14,,3,,
1897,9,21,7,14,,1,1,,0,NEW ZEALAND,WELLINGTON,-41.3,174.8,1,1,,,,,,,,,,
1897,10,18,23,48,,3,1,8.1,0,PHILIPPINES,SAMAR ISLAND,12,126,,2,,1.5,,,,,,2,17,
1897,12,29,10,32,,1,1,,0,DOMINICAN REPUBLIC,SANTO DOMINGO,18.5,-69.95,,0,,,,,,,,2,,
1897,12,,,,,1,1,,0,GREECE,IONIAN ISLANDS,,,,0,,,,,,,,,,
1897,,,,,,1,1,,0,MONTSERRAT,SOUFRIERE HILLS VOLCANO,16.72,-62.18,,0,,,,,,,,,,
1898,3,31,7,43,,1,9,6.2,0,USA,"OAKLAND, N. CALIFORNIA",38.2,-122.4,0.31,1,2,2,,,,,,,,
1898,4,22,23,37,,4,1,7.2,0,JAPAN,HONSHU ISLAND,38.6,142,0.1,2,,-3,,,,2,,3,,
1898,6,2,21,40,,3,1,7,0,GREECE,"PELOPONNESUS, GREECE",37.6,22.5,,0,,,,,,,,,,
1898,7,23,2,17,,1,1,6.5,0,CHILE,CENTRAL CHILE,-36.83,-73.03,,1,,,6,,,,,2,,
1898,12,3,5,50,,2,1,,0,GREECE,IONIAN ISLANDS,37.75,21,,1,,3,,,,,,1,,
1899,1,15,,,,3,1,,0,PAPUA NEW GUINEA,"EAST COAST, NEW IRELAND",-3,152,,13,,1.5,,,,,,2,,
1899,1,22,7,56,,2,1,6.6,0,GREECE,IONIAN SEA,37.2,21.6,1,2,,3,,,,,,,,
1899,1,29,,,,1,1,,0,AUSTRALIA,NORTHERN AUSTRALIA,-12.4,130.7,1.8,1,,,,,,,,,,
1899,2,3,,,,1,0,,0,PORTUGAL,AZORES,38.64,-28.03,10,1,,,1,,,,,2,,
1899,8,8,,,,1,0,,0,CHILE,CENTRAL CHILE,-33,-71.5,,1,,,,,,,,3,,
1899,9,4,0,22,,4,1,8.2,1,USA,"CAPE YAKATAGA, AK",60,-142,3.1,4,,0,,,,,,1,,
1899,9,10,21,41,,4,3,8.2,0,USA,"YAKUTAT BAY, AK",60,-140,60.96,12,5.9,3,,,,,,3,,
1899,9,29,17,3,,4,3,7.8,0,INDONESIA,BANDA SEA,-3,128.5,12,10,3.6,3,2460,,,300,,3,,
1899,10,7,,,,2,0,,0,JAPAN,TAGONOURA,35.1,138.75,,1,,1,,,,,,,,
1899,10,19,9,16,,2,1,,0,PAPUA NEW GUINEA,BISMARCK SEA,-5,148,,2,,1.5,,,,,,2,,
1899,11,24,18,43,,4,1,7.1,0,JAPAN,SEIKAIDO,31.9,132,0.3,1,-1.7,-1,,,,,,1,,
1899,11,25,18,55,,4,1,6.9,0,JAPAN,SEIKAIDO,32.7,132.3,,1,-1,-2,,,,,,,,
1899,12,25,12,25,,1,9,6.4,0,USA,S. CALIFORNIA,33.8,-118.5,,1,,0.5,,,,,,,,
1899,,,,,,3,0,,0,VIETNAM,NORTH CENTRAL VIETNAM,19,106,3,1,,,,,,,,1,,
1900,1,10,,,,1,1,,0,INDONESIA,"GALELA, HALMAHERA ISLAND",1.82,127.85,,1,,0,,,,,,,,
1900,8,11,4,40,,4,3,,0,USA,"LITUYA BAY, AK",58.6,-137.5,,1,,,5,,,,,1,,
1900,9,10,21,30,,4,1,6.8,0,PAPUA NEW GUINEA,BISMARCK SEA,-4,152,,3,,,,,,,,1,,
1900,9,17,21,45,,3,1,7.1,0,PAPUA NEW GUINEA,RABAUL HARBOR,-5,148,3,1,,1.5,,,,,,,,
1900,10,7,21,4,,3,1,6.9,0,INDONESIA,BISMARCK SEA,-4,140,,4,1,1.5,5,,,,,1,1,
1900,10,29,9,11,,3,1,7.7,0,VENEZUELA,MANCUTO,11,-66,10,5,,,25,,,,,3,,
1901,3,3,7,45,,3,3,6.7,0,USA,"MONTEREY BAY, N. CALIFORNIA",36,-120.5,,1,,,,,,,,,,
1901,3,31,7,12,,3,1,7.2,0,BULGARIA,BLACK SEA,43.4,28.5,3,1,,4,4,,,50,,3,1200,
1901,6,15,,,,4,1,6,0,JAPAN,"IWATE, JAPAN",39,143,,0,,,,,,,,,,
1901,6,24,,,,4,1,7.5,0,JAPAN,RYUKYU ISLANDS,28,130.3,0.25,4,-2.3,-1.5,,,,,,1,,
1901,8,9,9,23,30,4,1,7.2,0,JAPAN,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.6,3,0,-0.5,,,,,,2,,
1901,8,9,13,1,,4,1,7.9,0,NEW CALEDONIA,LOYALTY ISLANDS,-22,170,1.2,10,-0.7,,,,,,,2,,
1901,8,9,18,33,45,4,1,7.4,0,JAPAN,OFF NORTHEAST COAST HONSHU,40.6,142.3,0.25,2,-1,-1,18,,,,,2,8,
1901,8,9,20,0,,4,1,6.3,0,JAPAN,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.02,1,-1,,,,,,,,,
1901,9,10,0,30,,2,1,7,0,PHILIPPINES,E. LUZON ISLAND,14,121.6,,1,,0,,,,,,2,,
1901,10,8,2,16,,3,1,7,0,NICARAGUA,NICARAGUA,11,-86.5,1.5,1,,,,,,,,1,,
1901,12,31,9,2,30,1,1,7.1,0,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",51.45,-171.02,,1,,,,,,,,,,
1902,1,18,23,23,,1,2,6.3,0,GUATEMALA,OCOSA,14.71,-91.59,,0,,,,,,,,1,,
1902,2,26,,,,3,1,7,0,EL SALVADOR,EL SALVADOR-GUATEMALA,13.5,-89.5,,4,2.3,2,185,,,100,,3,,
1902,4,19,2,23,30,0,1,7.5,0,GUATEMALA,OCOS,14,-91,,0,,,2000,,,,,3,,
1902,5,5,,,,4,7,,1,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,14.82,-61.17,5,1,,,23,,,,,,,
1902,5,7,,,,4,6,,1,SAINT VINCENT AND THE GRENADINES,SOUFRIERE VOLCANO,13.33,-61.18,1,3,,,1680,,,,,1,,
1902,5,8,,,,2,6,,0,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,14.82,-61.17,,1,,,28000,,,,,,,
1902,5,20,,,,2,6,,0,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,14.82,-61.17,,4,,,,,,,,,,
1902,6,6,,,,2,0,,0,MARTINIQUE (FRENCH TERRITORY),FORT-DE-FRANCE,14.602,-61.065,,1,,,,,,,,,,
1902,7,5,14,56,30,3,1,6.6,0,GREECE,AEGEAN SEA,40.75,23.25,,1,,2,,,,,,,,
1902,7,8,,,,2,0,,0,MARTINIQUE (FRENCH TERRITORY),MARTINIQUE,14.553,-61.009,,1,,,,,,,,,,
1902,8,16,8,11,36,1,1,,0,MEXICO,MEXICO,24.6,-107.9,,1,,,,,,,,,,
1902,8,21,11,17,,1,1,7.3,0,PHILIPPINES,"ILLANA BAY, CELEBES SEA",7.5,123.5,,1,,2,,,,,,3,,
1902,8,30,,,,4,6,,0,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,14.82,-61.17,1,1,,,1500,,,,,,,
1902,9,27,,,,1,2,,0,GUATEMALA,OCOS,14,-91,,0,,,,,,,,1,,
1903,2,10,2,28,,1,1,,0,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,0.15,1,,2,,,,,,1,,
1903,3,30,,,,2,1,6.5,0,INDONESIA,BANDA SEA,-3,127.5,1,2,-0.5,0,,,,,,,,
1903,5,13,,,,1,1,,0,ITALY,CALABRIAN ARC,38.1,13.4,,0,,2,,,,,,,,
1903,7,16,,,,1,1,,0,MEXICO,S. MEXICO,16.7,-99.2,,0,,,,,,,,,,
1903,8,,,,,2,6,,0,USA,"COOK INLET, AK",,,,1,,,,,,,,,,
1903,9,7,,,,1,1,,0,TAIWAN,TAIWAN,,,,1,,0,,,,,,,,
1903,9,26,,,,2,1,,0,CHILE,NORTHERN CHILE,-20.2,-70.15,,1,,,,,,,,,,
1903,10,6,6,30,,-1,9,,0,USA,HAWAII,,,,1,,,,,,,,,,
1903,10,8,,,,-1,9,,0,USA,HAWAII,,,,1,,,,,,,,,,
1903,10,20,,,,3,0,,0,CANADA,"BLACKLEAD ISLAND, CUMBERLAND SOUND",64.98,-66.2,,1,,,,,,,,,,
1903,11,17,,,,1,9,,0,USA,HAWAII,,,,1,,,,,,,,,,
1903,11,24,,,,4,9,,0,USA,HAWAII,,,,1,,,,,,,,,,
1903,11,29,,,,0,9,,0,USA,HAWAII,,,15.7,3,3.9,3,,,,,,,,
1903,12,7,14,25,,3,1,6.5,0,CHILE,NORTHERN CHILE,-28.5,-71,,1,,,,,,,,2,,
1904,1,20,14,52,6,1,1,7.9,0,COLOMBIA,OFF THE COAST PANAMA-COLOMBIA,7,-79,,1,,,,,,,,,,
1904,2,2,,,,2,0,,0,INDONESIA,CELEBES SEA,1.5,120.8,,1,,0.5,,,,,,,,
1904,3,30,,,,-1,9,,0,USA,WASHINGTON-OREGON,,,,5,,0.5,,,,,,,,
1904,6,25,14,45,36,4,1,8.3,0,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA",52,159,,1,1,2,,,,,,,,
1904,6,25,21,0,36,3,1,8.1,0,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA",52,159,,0,1,,,,,,,,,
1904,7,5,,,,1,1,,0,INDONESIA,BANDA SEA,-3.6,128.7,,1,,1,,,,,,1,,
1904,8,8,22,50,0,1,1,7.2,0,NEW ZEALAND,CAPE TURNAGAIN,-40.4,176.4,3,0,,,,,,,,,,
1904,8,25,10,0,,1,2,,0,NEW ZEALAND,NEW ZEALAND,-39.12,177.2,,0,,,,,,,,,,
1904,9,7,,,,1,1,,0,INDONESIA,S. JAVA,-7.7,109,,1,,0,,,,,,,,
1904,12,20,5,44,18,2,1,7.2,0,PANAMA,BOCAS DEL TORO,9.2,-82.8,,1,,,,,,,,,,
1904,12,30,,,,-1,0,,0,COOK ISLANDS,COOK IS.,,,,0,,,,,,,,,,
1905,1,16,,,,0,8,,0,NORWAY,LOEN,61.866,6.85,40.5,4,,,61,,,,,2,,
1905,1,20,2,32,30,2,1,6.3,0,GREECE,AEGEAN SEA,39.66,22.83,,0,,,,,,,,,,
1905,1,20,18,23,,2,1,6.8,0,COSTA RICA,GULF OF NICOYA,9.85,-84.68,,1,,,,,,,,1,,
1905,1,,,,,1,1,,0,MEXICO,REVILLAGIGEDO ISLANDS,19,-113,,1,,,,,,,,,,
1905,2,26,6,22,,2,2,,0,NEW ZEALAND,N. NEW ZEALAND,-40.5,175,,1,,,1,,,,,,,
1905,3,19,,,,2,1,,0,VANUATU,MALO PASS,,,0.6,1,,,,,,,,,,
1905,4,4,0,50,,0,1,7.8,0,INDIA,"KANGRA, INDIA",33,76,,1,,,19000,,,,,4,,
1905,7,4,,,,4,8,,0,USA,"DISENCHANTMENT BAY, AK",60,-139.58,33.53,4,5.1,2.5,,,,,,,,
1905,7,6,16,21,0,3,1,7,0,JAPAN,JAPAN:  OFF FUKUSHIMA,37.4,142.6,,1,-1,,57,,,,,,,
1905,8,4,,,,2,6,,0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,,0,,0.5,,,,,,3,,
1905,9,8,1,43,11,4,1,7.1,0,ITALY,TYRRHENIAN CALABRIA,38.67,16.07,1.3,0,,4,557,,,2000,,4,6700,
1905,10,4,22,29,,4,1,5.1,0,RUSSIA,BLACK SEA,44.5,37.5,0.5,1,-1,2,,,,,,,,
1905,10,21,11,1,37,1,1,7.5,0,GEORGIA,CAUCASUS,42,42,,0,,,,,,,,,,
1905,11,8,22,6,11.8,3,3,7.2,0,GREECE,NORTH AEGEAN SEA,40.092,24.627,3,1,,,11,,,,,2,,
1905,11,22,,,,2,1,,0,VANUATU,PORT VILA,-17.7,168.3,,1,,,,,,,,,,
1905,11,24,,,,2,1,,0,VANUATU,PORT VILA,-17.7,168.3,,1,,,,,,,,,,
1905,12,8,8,22,,1,1,6.5,0,PHILIPPINES,W. LUZON ISLAND,11,123.5,,1,-0.5,0,,,,,,1,,
1905,,,,,,2,1,,0,TUNISIA,BALEARIC SEA,37.3,9.9,,1,,3,,,,,,,,
1905,,,,,,1,0,,0,TOGO,GOLD COAST,,,,1,,,,,,,,,,
1906,1,31,15,35,51,4,1,8.8,0,ECUADOR,OFF COAST,1,-81.5,5,55,1,3,1000,,,,,3,,
1906,1,31,,,,4,1,,0,VENEZUELA,CARACAS,10.5,-66.916,,6,,,,,,,,,,
1906,2,7,,,,4,1,,0,ECUADOR,COLOMBIA-ECUADOR,1,-81,0.25,1,,0.5,,,,,,,,
1906,2,21,,,,3,1,,0,COLOMBIA,BUENAVENTURA,3.9,-77.033,,0,,,,,,,,,,
1906,4,4,,,,4,6,,0,ITALY,TYRRHENIAN SEA,40.821,14.426,0.4,0,,3,350,,,300,,,,
1906,4,18,13,12,0,4,3,7.9,0,USA,N. CALIFORNIA,37.7,-122.5,0.1,3,-3.3,-4,,,,,,,,
1906,5,7,,,,2,1,,0,CHILE,NORTHERN CHILE,-18.5,-70.3,,2,,,,,,,,,,
1906,5,25,,,,2,0,,0,EL SALVADOR,OFF COAST,13.25,-88.83,,1,,,,,,,,,,
1906,7,1,,,,1,0,,0,"MARSHALL ISLANDS, REP. OF",MARSHALL ISLANDS,,,,1,,,,,,,,,,
1906,8,7,,,,2,0,,0,USA,S. CALIFORNIA,33.9,-117,0.02,1,,,,,,,,,,
1906,8,17,0,40,,3,1,8.2,0,CHILE,CENTRAL CHILE,-33,-72,3.5,35,1.8,2,4000,,,,100,4,,
1906,9,14,16,4,18,4,1,8,0,PAPUA NEW GUINEA,SOLOMON SEA,-7,149,1.5,7,0.6,1.5,,,,,,3,,
1906,10,2,1,50,,3,1,7.2,0,PAPUA NEW GUINEA,BISMARCK SEA,-4,149,1.2,2,,1.5,,,,,,1,,
1906,11,6,,,,-1,9,,0,USA,WASHINGTON-OREGON,,,,1,,,,,,,,,,
1906,11,20,21,0,,3,1,5,0,GHANA,GOLD COAST,6.5,0.3,,1,,,,,,,,2,,
1906,11,28,,,,2,6,,0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,,1,,,,,,,,,,
1906,12,26,6,53,28,2,1,7.9,0,PERU,S. PERU,-18,-71,,0,,,,,,,,,,
1906,,,,,,1,2,,0,VENEZUELA,MAIQUETIA,10.6,-66.95,,1,,,,,,,,,,
1907,1,4,5,19,13.2,4,1,8.2,0,INDONESIA,NW. SUMATRA,2.681,95.53,15,88,1.5,2,2188,,,,,3,,
1907,1,14,20,38,12,4,1,6.2,0,JAMAICA,JAMAICA,18.667,-76.237,2.5,10,1.3,,1000,,,,30,4,,
1907,3,29,20,46,30,1,1,7.3,0,INDONESIA,"KARAKELONG, TALAUD ISLANDS",3,122,4,1,2,2,,,,,,,,
1907,4,14,6,8,6,3,1,8.1,0,MEXICO,S. MEXICO,17,-100,2,3,1,,8,,,,,2,,
1907,6,8,,,,2,6,,0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,,1,,,,,,,,,,
1907,6,19,,,,2,6,,0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,,1,,,,,,,,,,
1907,6,27,,,,2,6,,0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,,1,,,,,,,,,,
1907,7,9,,,,2,6,,0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,,1,,,,,,,,,,
1907,7,25,,,,2,6,,0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,,1,,,,,,,,,,
1907,7,,,,,2,6,,0,TONGA,TONGA ISLANDS,-21.38,-175.65,,1,,0.5,,,,,,,,
1907,9,24,12,58,0,3,3,5.5,0,USA,"SKAGWAY, AK",59.5,-135.5,0.7,1,-0.5,0,,,,,,1,,
1907,10,6,,,,4,6,,0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,3.6,2,,,,,,,,3,,
1907,10,23,20,28,19,4,1,5.9,0,ITALY,IONIAN CALABRIA,38.133,16.017,,2,,3,158,,,,,2,,
1907,12,15,17,35,,2,1,7.4,0,PAPUA NEW GUINEA,BISMARCK SEA,-3.1,142.5,,1,,,,,,,,2,,
1908,2,6,,,,3,1,7.5,0,INDONESIA,SW. SUMATRA,-2,100,1.4,1,0.5,1,,,,,,,,
1908,2,14,11,25,0,1,3,6,0,USA,"PRINCE WILLIAM SOUND, AK",61,-146.2,,1,,,,,,,,1,,
1908,3,23,12,20,,-1,1,6.6,0,INDONESIA,TIMOR SEA,-10,129,,1,,,,,,,,1,,
1908,4,6,,,,0,8,,0,CANADA,NOTRE DAME DE LA SALETTE,45.77,-75.6,15,1,,,33,,,,,2,40,
1908,5,31,,,,1,1,6.5,0,UKRAINE,CRIMEA,44,34,,0,,,,,,,,,,
1908,9,11,,,,2,0,,0,CANADA,GULF OF SAINT LAWRENCE,48.958,-62.133,,3,,,,,,,,,,
1908,9,21,6,31,,4,1,6.8,0,USA,HAWAII,19,-155,1.2,2,-0.5,0,,,,,,,,
1908,12,12,12,8,,1,2,,0,PERU,S. PERU,-14,-78,,0,,,,,,,,,,
1908,12,28,4,20,27,4,3,7,5,ITALY,"MESSINA STRAIT, IONIAN SEA",38.17,15.58,13,87,,5,80000,,,,116,4,,
1909,3,7,,,,2,1,,0,COOK ISLANDS,RAROTONGA,-21,-159,3,3,,,,,,,,2,,
1909,3,12,23,19,,4,1,6.7,0,JAPAN,OFF BOSO PENINSULA,34.5,141.5,,1,-1,,,,,,,1,,
1909,3,13,14,29,,4,1,7.5,0,JAPAN,OFF BOSO PENINSULA,34.5,141.5,,1,-1,,,,,,,1,,
1909,6,3,18,40,48,2,1,7.6,0,INDONESIA,SUMATRA,-2,101,,4,0.5,1,,,,,,3,,
1909,6,8,5,46,30,0,1,7.6,0,CHILE,NORTHERN CHILE,-26.5,-70.5,,0,,,,,,,,,,
1909,7,8,,,,1,1,,0,VANUATU,VANUATU ISLANDS,-15.5,167.2,,1,,,,,,,,2,,
1909,7,30,10,51,54,2,1,7.4,0,MEXICO,S. MEXICO,16.8,-99.8,9,1,3.2,,,,,,,,,
1909,8,14,6,30,0,4,1,6.9,0,JAPAN,"ANEGAWA, JAPAN",35.4,136.3,1.8,1,1,,41,,,,,3,976,
1909,9,20,,,,-1,9,,0,USA,LOUISIANA: GRAND ISLE,,,,1,,,300,,,,,,,
1909,10,6,2,41,,0,1,,0,USA,UTAH,41.8,-112.7,,1,,,,,,,,1,,
1909,12,9,23,28,,4,1,8,0,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.5,145,,1,,,,,,,,2,,
1910,2,25,,,,1,1,6,0,PAPUA NEW GUINEA,MATUPI HARBOR,-4.25,152.25,,1,,0,,,,,,,,
1910,3,20,,,,0,8,,0,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",,,,0,,,,,,,,,,
1910,11,5,,,,1,0,,0,USA,"NOME, AK",64,-165,,2,,,,,,,,2,,
1910,11,10,12,19,54,3,1,7.2,0,VANUATU,VANUATU ISLANDS,-14,166.5,,1,,,,,,,,2,,
1910,11,21,12,45,,0,9,,0,USA,"SAN FRANCISCO, CA",,,0.3,1,,-1.5,,,,,,,,
1910,12,18,2,42,,2,1,6.7,0,INDONESIA,SULAWESI,4,127,,1,-1.3,-1,,,,,,1,,
1910,12,30,,,,1,1,6.2,0,PHILIPPINES,SULU SEA,9,125.5,,1,,1,,,,,,1,,
1911,1,30,,,,4,6,,2,PHILIPPINES,"TAAL, LUZON ISLAND",14.002,120.993,3,2,,,1335,,,199,,3,543,
1911,2,18,21,35,12,3,1,6.7,0,ALBANIA,OCHRIDA LAKE,40.9,20.8,,0,,,,,,,,,,
1911,5,8,,,,2,1,,0,PAPUA NEW GUINEA,"BLANCHE BAY, BISMARCK SEA",-4.25,152.25,,1,,0,,,,,,,,
1911,5,11,,,,2,0,6.6,0,TOGO,GOLD COAST,6.1,1.2,5,1,,,,,,,,1,,
1911,6,15,14,26,,4,1,8,0,JAPAN,RYUKYU ISLANDS,28,130,,2,1,1.5,12,,,,,3,422,
1911,7,12,4,7,36,1,1,7.8,0,PHILIPPINES,PHILIPPINE TRENCH,9,126,,4,,,,,,,,3,,
1911,9,15,13,10,,2,1,7.3,0,CHILE,NORTHERN CHILE,-20,-72,,0,,,,,,,,,,
1911,9,22,5,1,24,1,3,6.9,0,USA,"PRINCE WILLIAM SOUND, AK",60.5,-149,,1,,0.5,,,,,,1,,
1911,11,3,,,,3,8,,0,TRINIDAD AND TOBAGO,TRINIDAD,10.5,-61.2,,1,,,,,,,,,,
1912,1,24,16,22,51,2,1,6.8,0,GREECE,IONIAN SEA,38.12,20.67,,0,,,,,,,,,,
1912,4,13,,,,0,8,,0,USA,"SOUTHERN SHORE, LAKE ERIE (OHIO)",42,-81,,2,,,,,,,,1,,
1912,6,8,4,42,,3,1,6.6,0,JAPAN,SANRIKU,40.5,142,0.5,1,-1,0,,,,,,1,,
1912,8,9,1,28,51.4,4,3,7.2,0,TURKEY,MARMARA SEA,40.444,26.784,2.7,6,,,2800,,,7000,,4,24700,15400
1912,10,31,17,24,,1,1,6.9,0,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS,7,138,,1,,0,,,,,,,,
1912,12,6,,,,1,1,,0,"MICRONESIA, FED. STATES OF","YAP ISLANDS, CAROLINE ISLANDS",,,,1,,0.5,,,,,,,,
1913,2,22,1,6,,3,1,6.8,0,NEW ZEALAND,TASMAN SEA,-41.8,171.5,1.5,4,0.6,0.5,,,,,,1,,
1913,3,14,8,45,4.3,-1,4,7.8,0,INDONESIA,SANGIHE ISLAND,5.354,126.121,,1,,,138,,,,,2,,
1913,6,9,,,,2,8,,0,USA,"LONGPORT, NJ",39.314,-74.525,,1,,,,,,,,1,,
1913,7,28,6,40,,1,1,7,0,PERU,S. PERU,-16.6,-73.3,,1,,,,,,,,,,
1913,8,6,22,14,24,2,1,7.9,0,PERU,S. PERU,-17,-74,,0,,,,,,,,3,,
1913,10,2,4,23,28,2,3,6.7,0,PANAMA,OFF COAST,7.1,-80.6,,2,,,,,,,,1,,
1913,10,11,4,6,3,4,1,7,0,PAPUA NEW GUINEA,SOLOMON SEA,-7,148,0.1,1,-3.3,,,,,,,,,
1913,12,11,,,,2,0,,0,USA,"SANTA BARBARA, S. CALIFORNIA",,,4.5,1,,,,,,,,,,
1914,1,12,9,28,,4,4,7.1,2,JAPAN,SEIKAIDO,31.58,130.67,3,1,1.6,-1,63,,,112,19,3,2268,
1914,1,12,,,,2,1,,0,PERU,CENTRAL PERU,-12,-76.6,1,2,,1.5,,,,,,,,
1914,1,15,4,28,,1,1,,0,ITALY,LIGURIAN SEA,43.5,10.2,,0,,2,,,,,,,,
1914,2,26,4,58,12,1,1,7.2,0,PERU,S. PERU,-17,-72,,1,,,,,,,,,,
1914,3,14,,,,-1,0,,0,INDONESIA,INDONESIA,,,,0,,,,,,,,,,
1914,5,26,14,22,47.7,4,1,8.1,0,INDONESIA,NW. IRIAN JAYA,-1.829,136.943,0.1,5,1.5,2,,,,,,2,,
1914,5,,,,,2,0,,0,CANADA,GULF OF SAINT LAWRENCE,48.958,-62.133,,4,,,,,,,,,,
1914,6,25,19,7,25.9,2,1,7.6,0,INDONESIA,INDONESIA,-3.924,101.82,,1,,,20,,,20,,1,,
1914,10,6,19,15,,4,3,,0,NEW ZEALAND,"TOLAGA BAY, NORTH ISLAND",-37.8,178.2,,0,,,1,,,,,2,,
1914,11,27,14,39,46,1,3,6.3,0,GREECE,IONIAN SEA,38.8,20.6,3,1,1.7,4,14,,,,,3,,
1914,12,3,,,,2,0,,0,INDONESIA,AMBON ISLAND,-3.7,128.2,,0,,0,,,,,,,,
